timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
545222218,545222205,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545277075,545277062,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545326923,545326896,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545376760,545376747,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545426459,545426446,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545476242,545476229,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545525990,545525977,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545575714,545575701,0.5080645,0.42040816,0.0,0.0,0.0,1.0,0.0,0.0
545625482,545625469,0.51915324,0.41428572,0.0,0.0,0.0,1.0,0.0,0.0
545675337,545675321,0.5625,0.41428572,0.036734693,0.0,0.0,1.0,0.0,0.0
545725075,545725063,0.5695565,0.41428572,0.05102041,0.0,0.0,1.0,0.0,0.0
545774823,545774810,0.5695565,0.4122449,0.05102041,0.0,0.0,1.0,0.0,0.0
545824635,545824622,0.5705645,0.4122449,0.053061225,0.0,0.0,1.0,0.0,0.0
545874350,545874337,0.5705645,0.41020408,0.053061225,0.0,0.0,1.0,0.0,0.0
545924121,545924109,0.55846775,0.41020408,0.036734693,0.0,0.0,1.0,0.0,0.0
545973948,545973935,0.5282258,0.41836736,0.0,0.0,0.0,1.0,0.0,0.0
546023706,546023693,0.5090726,0.41836736,0.0,0.0,0.0,1.0,0.0,0.0
546073479,546073467,0.5080645,0.41836736,0.0,0.0,0.0,1.0,0.0,0.0
546128102,546128089,0.5080645,0.41836736,0.0,0.0,0.0,1.0,0.0,0.0
546178025,546178012,0.5080645,0.4122449,0.0,0.0,0.0,1.0,0.0,0.0
546222871,546222859,0.5080645,0.3877551,0.0,0.0,0.0,1.0,0.0,0.0
546272766,546272754,0.5080645,0.3510204,0.0,0.0,0.0,1.0,0.0,0.0
546327180,546327167,0.5080645,0.2734694,0.0,0.0,0.0,1.0,0.0,0.0
546376953,546376940,0.5080645,0.27959183,0.0,0.0,0.0,1.0,0.0,0.0
546421910,546421897,0.5080645,0.28163266,0.0,0.0,0.0,1.0,0.0,0.0
546476500,546476488,0.5080645,0.2897959,0.0,0.0,0.0,1.0,0.0,0.0
546526274,546526262,0.5080645,0.2897959,0.0,0.0,0.0,1.0,0.0,0.0
546576070,546576044,0.5080645,0.29183674,0.0,0.0,0.0,1.0,0.0,0.0
546625851,546625838,0.5080645,0.2857143,0.0,0.0,0.0,1.0,0.0,0.0
546675654,546675642,0.5080645,0.28367347,0.0,0.0,0.0,1.0,0.0,0.0
546725365,546725352,0.5080645,0.29591838,0.0,0.0,0.0,1.0,0.0,0.0
546775274,546775261,0.5080645,0.35714287,0.0,0.0,0.0,1.0,0.0,0.0
546824943,546824930,0.5080645,0.40816328,0.0,0.0,0.0,1.0,0.0,0.0
