timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
600973444,250772299,2,2490378,4028193,2490378,396321,0.045393303,0.03629396,0.046962462,0.035282828,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
601978864,250772299,2,2490378,4028193,2490378,396321,0.029890137,0.024016812,0.029314198,0.024456568,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
602984378,250772299,2,2490378,4028193,2490378,396321,0.0368597,0.034821462,0.03598914,0.03524232,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
603989661,250772299,2,2490378,4028193,2490378,396321,0.038946405,0.03556154,0.03797268,0.036022034,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
604995122,250772299,2,2490378,4028193,2490378,396321,0.07359853,0.06860454,0.073689796,0.06913001,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
606000450,250772299,2,2490378,4028193,2490378,396321,0.044077933,0.044569407,0.045086324,0.04352472,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
607005968,250772299,2,2490378,4028193,2490378,396321,0.013468104,0.015723258,0.013428198,0.01659435,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
608011320,250772299,2,2490378,4028193,2490378,396321,0.03557681,0.036201093,0.03535109,0.03757982,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
609016674,250772299,2,2490378,4028193,2490378,396321,0.035443228,0.029509619,0.033966944,0.030193713,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
610022075,250772299,2,2490378,4028193,2490378,396321,0.0772824,0.06809826,0.076368034,0.06884469,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
611027560,250772299,2,2490378,4028193,2490378,396321,0.04230091,0.032632414,0.0414358,0.033230584,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
612032924,250772299,2,2490378,4028193,2490378,396321,0.05079122,0.0398928,0.049869426,0.040746137,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
613038329,250772299,2,2490378,4028193,2490378,396321,0.06622079,0.067056745,0.063817024,0.06615782,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
614043869,250772299,2,2490378,4028193,2490378,396321,0.044665743,0.042827435,0.046760976,0.043946482,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
615049125,250772299,2,2490378,4028193,2490378,396321,0.02704241,0.03294877,0.028169166,0.032205038,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
616054707,250772299,2,2490378,4028193,2490378,396321,0.03281526,0.030929875,0.031081222,0.029618554,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
617060089,250772299,2,2490378,4028193,2490378,396321,0.0346473,0.030005792,0.03343336,0.029782893,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
618065308,250772299,2,2490378,4028193,2490378,396321,0.020364804,0.02696323,0.022805002,0.027542286,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
619070752,250772299,2,2490378,4028193,2490378,396321,0.022367448,0.027850954,0.023624714,0.02955669,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
620076111,250772299,2,2490378,4028193,2490378,396321,0.021576555,0.020242786,0.022561274,0.01953591,nan,nan,nan,nan,nan,1.0,1.0,1.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,3,4,1,1,1,1,0,0,0,0,0,0,0
