timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
543027781,543026923,2490378,8039.878,15.702887,125.62309,110.04637,nan,78.514435,62.813225,85.57432,94.217316,94.217316,94.217316,7.305072,6.886053,nan,7.138777,7.0983725,7.2875767,7.791243,6.8218403,6.902157
543077486,543074208,2490378,8039.878,15.702887,125.62309,110.04637,nan,nan,62.811546,85.57432,94.217316,94.217316,94.217316,7.305072,7.4634027,nan,nan,7.3622427,7.2875767,7.791243,6.8218403,6.902157
543171774,543168777,2490378,8039.878,15.702887,125.62309,110.04637,nan,nan,62.811546,85.57432,94.217316,94.217316,94.217316,7.2267504,7.4634027,nan,nan,7.3622427,7.2875767,7.791243,6.8218403,6.902157
543187040,543186197,2490378,8039.878,15.702887,125.62309,109.99169,nan,nan,62.811546,85.57432,94.217316,94.217316,94.217316,7.2267504,7.462442,nan,nan,7.3622427,7.2875767,7.791243,6.8218403,6.902157
543211583,543211084,2490378,8039.878,15.702887,125.62309,109.99169,nan,nan,62.811546,85.57432,94.217316,nan,nan,7.2267504,8.827826,nan,nan,7.3622427,7.2875767,7.2012777,nan,nan
543251446,543248413,2490378,8039.878,15.702887,125.62309,109.99169,nan,nan,62.811546,85.57432,94.217316,nan,nan,7.2267504,7.0333014,nan,nan,7.3622427,7.2875767,7.2012777,nan,nan
543321145,543318096,2490378,8039.878,15.702887,125.62309,109.920204,125.62309,nan,62.904057,nan,94.217316,94.217316,nan,7.729633,8.447282,6.889794,nan,8.461403,nan,7.2012777,7.118034,nan
543336276,543333028,2490378,8039.878,15.702887,125.62309,109.920204,125.62309,nan,62.904057,nan,94.217316,94.217316,nan,7.729633,8.447282,6.889794,nan,8.670096,nan,7.2012777,7.118034,nan
543410713,543407687,2490378,8039.878,15.702887,125.62309,nan,125.62309,nan,62.904057,nan,94.217316,94.217316,nan,6.9559135,nan,6.889794,nan,8.670096,nan,7.1000843,7.118034,nan
543450566,543449994,2490378,8039.878,15.702887,125.62309,nan,125.62309,nan,62.904057,nan,94.217316,94.217316,nan,6.9559135,nan,6.889794,nan,8.670096,nan,7.1000843,7.269953,nan
