timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
84502412,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.1036792,0.0017597601,2.109971e-11,-0.3136597,0.027015248,-9.783141,0.00035801975,0.023842886,-0.007507476,0.00089290226,0.041578073,0.008680218,7.0779483e-06,1.7700233e-06,2.2467264e-06,23.571781,23.571781
85512779,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.11066391,0.0020036632,2.4234219e-11,-0.31247333,0.13324803,-9.924138,0.0009352667,0.018155567,0.014780024,0.0005485948,0.028667843,0.011215235,1.4329289e-05,1.2733688e-06,6.0699354e-06,23.600544,23.600544
86523175,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.123978935,0.0020334707,2.1123554e-11,-0.2589795,0.17590773,-9.954338,-0.006136094,0.023647016,0.0058470257,0.0006235613,0.013075081,0.009938202,4.8873667e-06,9.896086e-07,2.2419038e-06,23.575634,23.575634
87533561,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.103419505,0.0017919429,2.417093e-11,-0.23294671,0.036011096,-9.880788,-0.0023203816,0.015538542,0.01938727,0.0004236762,0.0073229093,0.008746776,7.303451e-06,1.2667283e-06,5.708807e-07,23.576385,23.576385
88543951,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.09684384,0.0017973896,1.4880177e-11,-0.14885226,0.32441095,-9.88871,-0.00061862695,0.012787833,0.0008163258,0.00054066227,0.015328211,0.0090557,1.0001121e-05,6.9695614e-07,1.7050157e-05,23.583406,23.583406
89453303,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.11629499,0.001844307,1.9429873e-11,-0.17088091,0.1351037,-9.964555,0.011720978,0.01601655,-0.011993146,0.00064938585,0.007451945,0.012154839,9.2984055e-06,1.5973842e-06,9.955236e-07,23.585598,23.585598
90463692,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.116734855,0.0018824835,3.0148283e-11,-0.17625435,0.18181899,-9.95245,-0.01596353,0.01952393,-0.013882987,0.00034581512,0.026802221,0.0061985175,1.0097759e-05,8.847656e-07,3.429226e-06,23.59896,23.59896
91474106,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.091066286,0.0019622282,2.4134897e-11,-0.2802342,0.025374144,-9.9461775,-0.00077589875,0.021709379,0.004109074,0.00051676086,0.0031533726,0.0077819894,3.0502932e-05,6.662912e-07,1.5113183e-05,23.606585,23.606585
92484474,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.08805063,0.0017756517,1.1729298e-11,-0.39806426,0.024358623,-9.777682,-0.008605872,0.008900517,0.013241914,0.0005238408,0.0052788453,0.0060662203,1.1822609e-05,3.2649539e-06,2.0565092e-05,23.606052,23.606052
93494884,2490402,2490402,0,0,0,0,0,395.8828,395.8828,7917.6562,7917.6562,0.09580118,0.0018170432,2.4847383e-11,-0.21501647,0.050924707,-10.016572,-0.0011658041,0.023713673,0.011298481,0.00089596753,0.06946756,0.015285074,3.1762986e-05,1.6773448e-06,6.0373445e-06,23.614206,23.614206
