timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
72254768,72254755,0.0,0.0,0.0,0.45167652,0.0,1.0,0.0,0.0
72309595,72309582,0.0,0.0,0.0,0.45364892,0.0,1.0,0.0,0.0
72359536,72359523,0.0,0.0,0.0,0.4546351,0.0,1.0,0.0,0.0
72409507,72409491,0.0,0.0,0.0,0.4546351,0.0,1.0,0.0,0.0
72454580,72454567,0.0,0.0,-0.035856575,0.44378698,0.0,1.0,0.0,0.0
72509427,72509413,-0.045908183,0.0,-0.047808766,0.42209074,0.0,1.0,0.0,0.0
72559414,72559401,-0.0499002,0.0,-0.055776894,0.42307693,0.0,1.0,0.0,0.0
72604472,72604459,-0.0499002,0.0,-0.07370518,0.40631163,0.0,1.0,0.0,0.0
72659336,72659322,-0.017964073,0.0,-0.04183267,0.40828404,0.0,1.0,0.0,0.0
72709296,72709282,-0.013972056,0.0,-0.043824703,0.40828404,0.0,1.0,0.0,0.0
72759291,72759277,0.0,0.0,-0.05179283,0.40631163,0.0,1.0,0.0,0.0
72804401,72804374,0.0,0.0,-0.04183267,0.40532544,0.0,1.0,0.0,0.0
72859208,72859194,0.0,0.0,-0.055776894,0.3964497,0.0,1.0,0.0,0.0
72909169,72909155,0.0,0.0,-0.043824703,0.3974359,0.0,1.0,0.0,0.0
72959136,72959121,0.0,0.0,-0.033864543,0.3974359,0.0,1.0,0.0,0.0
73009107,73009094,0.0,0.0,-0.001992032,0.40828404,0.0,1.0,0.0,0.0
73059063,73059049,0.0,0.0,0.0,0.40927023,0.0,1.0,0.0,0.0
73109019,73109005,0.0,0.0,0.0,0.40927023,0.0,1.0,0.0,0.0
73154161,73154147,0.0,0.0,0.0,0.41025642,0.0,1.0,0.0,0.0
73208966,73208953,0.0,0.0,0.0,0.41025642,0.0,1.0,0.0,0.0
73258921,73258906,0.0,0.0,0.0,0.41025642,0.0,1.0,0.0,0.0
73309088,73309071,0.0,0.0,0.0,0.4289941,0.0,1.0,0.0,0.0
73353965,73353952,0.0,0.0,0.0,0.4289941,0.0,1.0,0.0,0.0
73408819,73408805,0.0,0.0,0.0,0.4289941,0.0,1.0,0.0,0.0
73458819,73458805,0.0,0.0,0.0,0.4289941,0.0,1.0,0.0,0.0
73508757,73508742,0.0,0.0,-0.067729086,0.4280079,0.0,1.0,0.0,0.0
73558719,73558705,0.0,0.0,-0.15338646,0.42702168,0.0,1.0,0.0,0.0
73608684,73608670,0.0,0.0,-0.15338646,0.41420117,0.0,1.0,0.0,0.0
73658655,73658641,0.0,0.0,-0.119521916,0.4122288,0.0,1.0,0.0,0.0
73708622,73708608,0.0,0.0,-0.117529884,0.40039447,0.0,1.0,0.0,0.0
73758588,73758575,0.0,0.0,-0.107569724,0.3984221,0.0,1.0,0.0,0.0
73808549,73808535,0.0,0.0,-0.057768926,0.40039447,0.0,1.0,0.0,0.0
73858521,73858507,0.0,0.0,-0.035856575,0.4122288,0.0,1.0,0.0,0.0
73908514,73908501,0.0,0.0,-0.033864543,0.41420117,0.0,1.0,0.0,0.0
73958448,73958434,0.0,0.0,-0.017928287,0.41420117,0.0,1.0,0.0,0.0
74008407,74008393,0.0,0.0,0.0,0.4151874,0.0,1.0,0.0,0.0
74058379,74058365,0.0,0.0,0.0,0.4151874,0.0,1.0,0.0,0.0
74108344,74108329,0.0,0.0,0.005976096,0.41617358,0.0,1.0,0.0,0.0
