timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
24302982,24202433,0.0001756291,0.0020606956,0.0020490056,67240471,0,0.07835673,0.17007492,0.0001253202,0.010304428,0.029323895,0.008710314,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
24502798,24402253,0.00020402101,0.003449808,0.0022652587,67240471,0,0.077421464,0.16927956,0.0025408259,0.014343554,0.02865519,0.0037923793,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
24703109,24602074,0.00014146775,0.00059575436,0.0013224517,67240471,0,0.07651955,0.16849537,0.014847275,0.012642412,0.028012237,0.0016780447,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
24902435,24801893,0.00015214615,0.0014057368,0.0008933219,67240471,0,0.07608589,0.16772212,0.00016965685,0.011798244,0.031107876,9.035889e-06,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
25102414,25001714,0.00024292423,0.002749104,0.0012102426,67240471,0,0.075230785,0.16695955,0.007094582,0.012629028,0.030444818,0.002337707,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
25302166,25201534,0.00037760125,0.0052795983,0.0021935957,67240471,0,0.07481989,0.1662074,0.0037602466,0.013147008,0.030221509,0.007880112,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
25501970,25401354,0.0010941155,0.01718115,0.0048541175,67240471,0,0.07400769,0.16546543,0.0014139963,0.021319788,0.029302584,0.0007819006,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
25701827,25601175,0.00014324096,0.006446167,0.004199545,67240471,0,0.07322201,0.16473342,0.002351268,0.031209186,0.028176915,0.0022455642,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
25901594,25800994,0.0017320343,0.024561238,0.0025535643,67240471,0,0.07284499,0.16419153,0.0028338872,0.028508395,0.02845189,0.009302949,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
26111402,26010806,0.00045559584,0.014942191,0.005073869,67240471,0,0.072097294,0.16329853,0.006153615,0.018708242,0.027319323,0.004451912,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
26311752,26210626,0.0008149719,0.020453975,0.006390305,67240471,0,0.07137196,0.16259506,0.00047642723,0.018071631,0.027431423,0.0027934809,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
26511699,26410446,0.00012949691,0.008212796,0.0050277766,67240471,0,0.07102427,0.16190068,0.001776427,0.010686428,0.02707136,0.011520575,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
26700958,26600276,0.00117603,0.017705066,0.0004473267,67240471,0,0.07033152,0.16138645,0.0018640137,0.0058918335,0.03012289,0.00022395671,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
26900733,26800096,0.0008112771,0.017130608,0.004075898,67240471,0,0.06999996,0.16070753,0.003065891,0.013717913,0.029943828,0.00017627087,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
27100452,26999919,0.0003984147,0.003957244,0.0037938626,67240471,0,0.06933774,0.16003719,0.00041882394,0.011378157,0.02917591,0.00022907792,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
27300447,27199737,0.0006518547,0.0089376,0.0018230408,67240471,0,0.0690209,0.15937524,0.0037179913,0.014622742,0.03255796,0.009695939,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
27510497,27409548,0.000108607164,0.0030671768,0.00073850295,67240471,0,0.06838675,0.15872148,0.0063389908,0.010011544,0.03545595,0.009359693,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
27709982,27609369,6.9534e-05,0.00081750785,0.0002536673,67240471,0,0.067802906,0.15808295,0.00050819514,0.015585071,0.034863833,0.00016974412,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
27909817,27809189,0.00013813381,0.0014186403,0.0011675804,67240471,0,0.06750181,0.15744361,0.00082506164,0.012495871,0.038001075,0.00963608,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
28109627,28009011,0.00026427564,0.0056145145,0.0027791818,67240471,0,0.06690387,0.15681213,0.00050977006,0.015033276,0.037220094,0.009338584,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
28309473,28208831,8.121937e-05,0.0022037919,0.0023241902,67240471,0,0.066615984,0.15618835,0.0045686485,0.0054972223,0.036868393,0.0043653282,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
28509410,28408652,0.0002457364,0.0029052417,0.0010006891,67240471,0,0.066042684,0.1555721,0.001073411,0.01641075,0.039592516,0.00517611,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
28709305,28608472,5.4981094e-05,0.0013417266,0.0009596032,67240471,0,0.06548466,0.15496325,0.0019567206,0.007012427,0.038974054,0.014778019,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
28908947,28808293,0.00016283414,0.0023207308,0.0016467836,67240471,0,0.06521698,0.15436165,0.0004375424,0.02529301,0.04217394,0.00041082426,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
29108664,29008113,0.0002197692,0.0034973887,0.0017933105,67240471,0,0.064680986,0.15376712,0.0023549555,0.011800102,0.041508254,0.0003822992,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
29308553,29207934,6.691059e-05,0.0013441375,0.0014633501,67240471,0,0.06442444,0.15317954,0.0038999834,0.006164845,0.041117527,0.0043269484,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
29508324,29407755,0.00021191039,0.0023646634,0.0009141835,67240471,0,0.0639091,0.15259878,0.0087720575,0.032396752,0.040439423,0.00043631307,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
29708151,29607576,8.69762e-05,0.0011973529,0.00058545783,67240471,0,0.063406594,0.1520247,6.169259e-05,0.004222414,0.039761167,0.009934332,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
29907970,29807396,0.00020033422,0.0022980724,0.0010169601,67240471,0,0.06316698,0.15145718,0.00260579,0.008597377,0.0428841,0.019425953,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
30107835,30007218,0.00027442307,0.0034733766,0.0014084807,67240471,0,0.062682986,0.15089607,0.011113401,0.013077453,0.04213794,0.0003519325,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
30307609,30207038,9.876127e-05,0.001981919,0.0016429609,67240471,0,0.062452737,0.15034126,0.0013662194,0.015672715,0.03848496,0.009823144,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
30507723,30406859,0.00028357055,0.004415549,0.00090609293,67240471,0,0.061986063,0.14979263,0.0056225588,0.006729187,0.03783395,0.004467273,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
30707335,30606680,4.7939124e-05,0.0016443413,0.00037534197,67240471,0,0.061530277,0.14925005,0.00019271312,0.005879594,0.037330966,0.009736598,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
30907294,30806501,0.000204681,0.002507672,0.0005979807,67240471,0,0.061314143,0.14871341,0.004294603,0.008174736,0.037009828,0.00030522686,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
31107012,31006322,0.0002628368,0.0041095833,0.0010186353,67240471,0,0.060873944,0.14818259,0.00081469433,0.009913355,0.03607195,0.0051087444,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
31306683,31206143,0.00016075082,0.0033464693,0.0011562502,67240471,0,0.0606656,0.14778906,0.008446612,0.011387079,0.035966903,0.004439505,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
31506524,31405964,0.00019625254,0.003852339,0.0009247884,67240471,0,0.06024002,0.14726818,0.0016316364,0.005123169,0.035307948,0.003714838,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
31706411,31605785,0.0001681263,0.0018136877,0.0008289876,67240471,0,0.059823662,0.1467528,0.0047324733,0.008827725,0.034781355,0.00096078496,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
31906214,31805609,0.000117678464,0.00053502637,0.0008847183,67240471,0,0.05966474,0.14625064,0.009951962,0.010440564,0.034613896,0.004472583,0.0,0.0,0.0,0.0,3932210,3932210,3997730,396809,0,0,895,2,1,2,0,3,0,0,0,0,0,0,0
