timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
119509277,3932210,3932170,2490402,3932210,0,0.046082176,0.05976855,0.08501425,0.0,3932210,3932170,2490402,3932210,0,0.0045245183,0.005959712,0.0074843736,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
119704101,3932210,3932170,2490402,3932210,0,0.04531945,0.06626119,0.0873029,0.0,3932210,3932170,2490402,3932210,0,0.0047153593,0.0057813097,0.0073106843,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
119908934,3932210,3932170,2490402,3932210,0,0.04497886,0.061556693,0.083856314,0.0,3932210,3932170,2490402,3932210,0,0.00481354,0.0057728644,0.0077098976,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
120108750,3932210,3932170,2490402,3932210,0,0.04421453,0.06260183,0.08354522,0.0,3932210,3932170,2490402,3932210,0,0.0050775628,0.005996274,0.008076954,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
120308574,3932210,3932170,2490402,3932210,0,0.046555337,0.060107697,0.086254254,0.0,3932210,3932170,2490402,3932210,0,0.004896626,0.00589223,0.007523881,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
120508403,3932210,3932170,2490402,3932210,0,0.049195293,0.06121686,0.08702641,0.0,3932210,3932170,2490402,3932210,0,0.0048142285,0.005981031,0.007618131,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
120708230,3932210,3932170,2490402,3932210,0,0.0458856,0.06019195,0.08260415,0.0,3932210,3932170,2490402,3932210,0,0.004817697,0.0058512823,0.007591564,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
120908188,3932210,3932170,2490402,3932210,0,0.047559123,0.060339373,0.08678521,0.0,3932210,3932170,2490402,3932210,0,0.0049145897,0.0057286117,0.007349367,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
121107882,3932210,3932170,2490402,3932210,0,0.048233215,0.05139519,0.08128363,0.0,3932210,3932170,2490402,3932210,0,0.0049073375,0.005767546,0.0073183547,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
121307706,3932210,3932170,2490402,3932210,0,0.044372115,0.057950996,0.082412705,0.0,3932210,3932170,2490402,3932210,0,0.0047530117,0.0058799693,0.0072091315,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
