timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,jamming_state,vel_ned_valid,satellites_used,selected
50794044,1662721363499959,387265944,-775179581,63919,29325,0.07,0.009170483,0.22000001,0.34100002,0.47,0.76,107,17,7.7070003,-6.8630004,3.5070002,-0.21400002,2.6676545,0,nan,0.0,3,1,1,29,0
51301288,1662721363999960,387265637,-775179383,63944,29350,0.071,0.0094823735,0.21900001,0.34,0.47,0.76,107,17,7.6450005,-6.854,3.3880002,-0.095000006,2.6815763,0,nan,0.0,3,1,1,29,0
51794042,1662721364499958,387265327,-775179194,63961,29367,0.072000004,0.009085835,0.21800001,0.33900002,0.47,0.76,107,11,7.5740004,-6.873,3.1840003,-0.052,2.7061455,0,nan,0.0,3,1,1,29,0
52300065,1662721364999959,387265018,-775179010,63991,29397,0.07,0.009463349,0.21800001,0.33800003,0.47,0.76,107,11,7.5750003,-6.821,3.2940001,-0.115,2.6928267,0,nan,0.0,3,1,1,29,0
52794043,1662721365499958,387264717,-775178815,64018,29424,0.068,0.010424501,0.21800001,0.337,0.47,0.76,107,19,7.471,-6.5790005,3.5400002,-0.08800001,2.6523151,0,nan,0.0,3,1,1,29,0
53302185,1662721365999959,387264423,-775178607,64036,29442,0.072000004,0.010282956,0.21700001,0.33600003,0.47,0.76,107,19,7.4110003,-6.4100003,3.719,-0.049000002,2.6188052,0,nan,0.0,3,1,1,29,0
53793043,1662721366499958,387264134,-775178396,64044,29449,0.068,0.00950419,0.21700001,0.335,0.47,0.76,107,12,7.3580003,-6.379,3.6680002,0.009000001,2.6192162,0,nan,0.0,3,1,1,29,0
54300044,1662721366999959,387263847,-775178188,64020,29426,0.069000006,0.009932668,0.216,0.335,0.47,0.76,107,12,7.3160005,-6.3760004,3.5870001,0.044000003,2.6271653,0,nan,0.0,3,1,1,29,0
54794079,1662721367499958,387263560,-775177984,63973,29379,0.068,0.009922895,0.216,0.33400002,0.47,0.76,107,10,7.2770004,-6.3970003,3.469,0.132,2.6423059,0,nan,0.0,3,1,1,29,0
55300042,1662721367999958,387263270,-775177790,63929,29335,0.123,0.018048624,0.21800001,0.33600003,0.47,0.76,107,10,7.2950006,-6.5020003,3.308,0.13100001,2.6679296,0,nan,0.0,3,1,1,29,0
