timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
78854703,78854309,0.34214538,0.031090997,-0.013332759,0.9390379,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
79354954,79353871,0.34119245,0.027310543,-0.010308564,0.93954015,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
79853828,79853434,0.34184262,0.023141256,-0.009953412,0.9394195,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
80353390,80352996,0.34456235,0.020410648,-0.011824278,0.93846714,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
80857945,80857554,0.3491217,0.019591687,-0.014951773,0.9367533,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
81352517,81352121,0.3522625,0.020432634,-0.015610669,0.93554795,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
81852084,81851684,0.35106766,0.024046946,-0.012243146,0.9359612,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
82356636,82356242,0.3460328,0.023808245,-0.0032708202,0.93791467,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
82856212,82855805,0.34378356,0.022728499,-0.00047911372,0.93877375,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
83355865,83355367,0.34410778,0.019451616,-0.0056135566,0.93871194,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
83855324,83854930,0.34861606,0.019588334,-0.00929471,0.9370148,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
84354886,84354493,0.35159174,0.019320061,-0.01090081,0.9358906,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
84854449,84854056,0.35173896,0.024051763,-0.009006493,0.93574584,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
85354011,85353619,0.34921724,0.029189805,-0.008303682,0.93655026,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
85853589,85853181,0.347544,0.030759566,-0.0059881196,0.93714,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
86353136,86352744,0.34622675,0.028963082,-0.0070770737,0.937677,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
86857700,86857303,0.34606618,0.027988391,-0.0074951807,0.9377626,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
87357317,87356866,0.34453782,0.029912544,-0.006790477,0.9382712,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
87857038,87856429,0.34169722,0.032208174,-0.004691172,0.9392464,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
88351394,88350996,0.33986664,0.03351427,-0.0046471935,0.9398649,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
88855949,88855555,0.33995113,0.034386747,-0.0069881477,0.93978834,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
89355511,89355118,0.34097892,0.034056783,-0.009595981,0.93940485,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
89855122,89854682,0.34344104,0.032551922,-0.0073073907,0.9385815,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
90354662,90354245,0.34724313,0.028353108,-0.010696898,0.9372855,1.0,4.081458e-10,-1.9418405e-09,-7.498589e-05,3
